BoostPressure,EngineFuelRate,EngineLoad,EngineOilPressure,EngineRpm,GroundSpeed,HaulDistance,Payload,TankFuelLevel,GearSelect,ServiceHours
0.0,17.3,8.97,397.67,700.62,0.0,0.9,0.0,93.17,0.0,115.41234010455082
0.0,19.32,10.57,400.35,698.67,0.0,0.9,0.0,93.17,0.1,490.7630358190945
0.0,17.69,9.3,402.98,700.53,0.0,0.9,0.0,93.17,0.0,403.3462141561031
0.0,17.92,9.37,407.88,699.48,0.0,0.9,0.0,93.17,0.0,642.8266077745429
0.0,17.9,9.37,410.35,699.63,0.0,0.9,0.0,93.17,0.0,510.06165009860706
0.0,17.84,9.23,412.77,700.17,0.0,0.9,0.0,93.17,0.0,414.8324689692454
0.0,17.84,9.23,415.17,700.37,0.0,0.9,0.0,93.17,0.0,291.5640308181173
0.0,17.73,9.17,417.22,699.3,0.0,0.9,0.0,93.17,0.0,53.784672882618906
0.0,17.96,9.3,418.65,699.93,0.0,0.9,0.0,93.17,0.0,429.0140611999959
0.55,32.88,18.07,428.6,779.62,1.42,0.9,0.0,93.17,0.37,256.28602711904387
1.03,35.14,15.9,431.48,795.4,1.18,0.9,0.0,93.17,-0.3,271.6360209385384
1.2,36.63,16.03,427.17,784.33,0.98,0.9,125.87,93.17,0.2,58.98520832505892
61.48,241.34,70.5,524.63,1555.92,14.63,0.94,173.19,92.89,2.9,683.8320060816477
27.2,117.86,38.93,531.52,1634.08,16.65,1.07,169.6,92.69,3.47,642.218524575932
114.6,328.27,98.63,496.75,1513.02,16.5,1.29,169.6,92.42,5.0,210.9960291518364
41.18,103.58,28.47,538.75,1728.13,18.82,1.46,169.6,92.71,3.67,129.77032070831046
24.15,93.6,23.67,529.42,1658.35,18.12,1.66,169.6,93.01,3.3,213.24535991472658
6.9,67.65,25.8,442.03,1082.25,0.5,1.8,169.6,92.22,0.43,756.3123447179387
38.15,160.98,44.3,514.22,1605.7,12.7,0.08,0.0,92.38,1.97,760.3776267509384
52.17,180.21,51.83,535.15,1745.63,21.57,0.19,0.0,92.17,3.47,176.26667617310886
33.28,112.94,32.9,508.4,1559.92,20.93,0.42,0.0,92.4,3.43,422.30940324655967
56.7,194.86,55.37,530.83,1743.38,18.9,0.63,0.0,92.53,3.0,331.1263827822113
0.27,17.73,9.37,377.68,700.92,0.0,0.9,0.0,92.31,0.0,257.64320096220763
0.93,29.41,13.3,400.28,802.72,1.35,0.9,0.0,91.51,0.2,99.41395709080825
0.02,18.75,9.93,387.15,700.08,0.0,0.9,0.0,91.56,0.07,360.3856822413363
3.7,62.26,27.17,429.37,948.92,3.35,0.9,0.0,91.32,-0.23,717.3651330887224
0.0,16.49,8.27,390.83,700.85,0.0,0.9,0.0,91.42,0.0,407.72790147637716
0.0,16.84,8.57,393.32,700.5,0.0,0.9,39.08,91.75,0.0,648.5023171005305
0.0,17.08,8.57,397.33,700.75,0.0,0.9,117.18,91.69,0.0,101.13554505574575
18.53,122.56,39.77,466.97,1184.73,7.48,0.9,172.56,91.56,1.47,570.5046401324944
80.0,241.49,69.37,519.68,1633.22,15.8,1.01,186.7,91.19,3.0,660.3793742218404
70.58,211.43,61.9,525.32,1645.52,20.18,1.21,186.7,91.2,3.77,523.5293027070584
